,integration,dp-wrapper-signup.pt-integration.tatadigital.com
dp-wrapper-update-consent-deploy,integration,dp-wrapper-update-consent.pt-integration.tatadigital.com
dp-wrapper-update-referredby-deploy,integration,dp-wrapper-update-referredby.pt-integration.tatadigital.com
dp-wrapper-updateprofile-deploy,integration,dp-wrapper-updateprofile.pt-integration.tatadigital.com
dp-wrapper-upload-tatasky-deploy,integration,dp-wrapper-upload-tatasky.pt-integration.tatadigital.com
dp-wrapper-userstatus-deploy,integration,dp-wrapper-userstatus.pt-integration.tatadigital.com
dp-wrapper-validateotp-deploy,integration,dp-wrapper-validateotp.pt-integration.tatadigital.com
dp-wrapper-validatetoken-deploy,integration,dp-wrapper-validatetoken.pt-integration.tatadigital.com
,integration,ihcl-func-customerenrolment.pt-integration.tatadigital.com
ihcl-wrapper-addcustomer-deploy,integration,ihcl-wrapper-addcustomer.pt-integration.tatadigital.com
,integration,loyalty-cache-customerloyalty.pt-integration.tatadigital.com
loyalty-eventhub-consumer3-deploy,integration,loyalty-eventhub-consumer3.pt-integration.tatadigital.com
,integration,loyalty-eventhub-customerloyaltycdcconsume.pt-integration.tatadigital.com
loyalty-eventhub-customerloyaltycdcpublish-deploy,integration,loyalty-eventhub-customerloyaltycdcpublish.pt-integration.tatadigital.com
loyalty-eventhub-omsdata-deploy,integration,loyalty-eventhub-omsdata.pt-integration.tatadigital.com
,integration,loyalty-eventhub-omsretry.pt-integration.tatadigital.com
,integration,loyalty-eventhub-otp.pt-integration.tatadigital.com
loyalty-eventhub-publish-deploy,integration,loyalty-eventhub-publish.pt-integration.tatadigital.com
,integration,loyalty-eventhub-reversepoint.pt-integration.tatadigital.com
,integration,loyalty-eventhub-reversepointdeadlock.pt-integration.tatadigital.com
loyalty-func-consumeomsdata-deploy,integration,loyalty-func-consumeomsdata.pt-integration.tatadigital.com
loyalty-func-consumereversepoint-deploy,integration,loyalty-func-consumereversepoint.pt-integration.tatadigital.com
loyalty-func-customerloyalty-deploy,integration,loyalty-func-customerloyalty.pt-integration.tatadigital.com
loyalty-func-fetch-customer-v2-deploy,integration,loyalty-func-fetch-customer-v2.pt-integration.tatadigital.com
loyalty-func-fetchcustomer-deploy,integration,loyalty-func-fetchcustomer.pt-integration.tatadigital.com
loyalty-func-fetchredemption-deploy,integration,loyalty-func-fetchredemption.pt-integration.tatadigital.com
loyalty-func-generateauthtoken-deploy,integration,loyalty-func-generateauthtoken.pt-integration.tatadigital.com
loyalty-func-generatetoken-deploy,integration,loyalty-func-generatetoken.pt-integration.tatadigital.com
loyalty-func-groupredeem-deploy,integration,loyalty-func-groupredeem.pt-integration.tatadigital.com
loyalty-func-linkaccount-deploy,integration,loyalty-func-linkaccount.pt-integration.tatadigital.com
loyalty-func-loyaltydetails-deploy,integration,loyalty-func-loyaltydetails.pt-integration.tatadigital.com
loyalty-func-omsretryconsume-deploy,integration,loyalty-func-omsretryconsume.pt-integration.tatadigital.com
,integration,loyalty-func-publishomsdata.pt-integration.tatadigital.com
loyalty-func-publishotp-deploy,integration,loyalty-func-publishotp.pt-integration.tatadigital.com
,integration,loyalty-func-publishreversepoint.pt-integration.tatadigital.com
loyalty-func-redeempoint-deploy,integration,loyalty-func-redeempoint.pt-integration.tatadigital.com
loyalty-func-reversepoint-deploy,integration,loyalty-func-reversepoint.pt-integration.tatadigital.com
loyalty-func-shangrila-eventbaseearn-deploy,integration,loyalty-func-shangrila-eventbaseearn.pt-integration.tatadigital.com
loyalty-func-shangrilagcexchange-deploy,integration,loyalty-func-shangrilagcexchange.pt-integration.tatadigital.com
loyalty-func-shangrilagclink-deploy,integration,loyalty-func-shangrilagclink.pt-integration.tatadigital.com
loyalty-func-sixtexchangerate-deploy,integration,loyalty-func-sixtexchangerate.pt-integration.tatadigital.com
loyalty-func-sixtvoucher-deploy,integration,loyalty-func-sixtvoucher.pt-integration.tatadigital.com
loyalty-func-tcpwebservice-deploy,integration,loyalty-func-tcpwebservice.pt-integration.tatadigital.com
loyalty-func-transactionhistory-deploy,integration,loyalty-func-transactionhistory.pt-integration.tatadigital.com
